trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,train_accuracy,batch_pos,batch_neg
1,104,10,100,1e-05,0.01,0.522,0.5673076923076923,59,45
1,204,10,100,1e-05,0.01,0.474,0.5882352941176471,100,104
1,304,10,100,1e-05,0.01,0.484,0.7039473684210527,148,156
1,404,10,100,1e-05,0.01,0.484,0.6262376237623762,189,215
1,504,10,100,1e-05,0.01,0.478,0.7123015873015873,240,264
1,604,10,100,1e-05,0.01,0.47,0.6341059602649006,296,308
1,704,10,100,1e-05,0.01,0.48,0.6960227272727273,340,364
1,804,10,100,1e-05,0.01,0.472,0.722636815920398,391,413
1,904,10,100,1e-05,0.01,0.48,0.6758849557522124,440,464
1,1004,10,100,1e-05,0.01,0.476,0.7171314741035857,489,515
1,1104,10,100,1e-05,0.01,0.486,0.7273550724637681,538,566
1,1204,10,100,1e-05,0.01,0.446,0.7308970099667774,589,615
1,1304,10,100,1e-05,0.01,0.482,0.7400306748466258,649,655
1,1404,10,100,1e-05,0.01,0.462,0.7535612535612536,702,702
1,1504,10,100,1e-05,0.01,0.476,0.7539893617021277,754,750
1,1604,10,100,1e-05,0.01,0.474,0.7680798004987531,805,799
1,1704,10,100,1e-05,0.01,0.46,0.7353286384976526,859,845
1,1804,10,100,1e-05,0.01,0.464,0.7610864745011087,911,893
1,1904,10,100,1e-05,0.01,0.486,0.7657563025210085,963,941
1,2004,10,100,1e-05,0.01,0.494,0.7914171656686627,1010,994
1,2104,10,100,1e-05,0.01,0.528,0.7937262357414449,1060,1044
1,2204,10,100,1e-05,0.01,0.544,0.8207803992740472,1115,1089
1,2304,10,100,1e-05,0.01,0.528,0.8502604166666666,1159,1145
1,2404,10,100,1e-05,0.01,0.596,0.8810316139767055,1216,1188
1,2504,10,100,1e-05,0.01,0.602,0.8981629392971247,1269,1235
1,2604,10,100,1e-05,0.01,0.584,0.8932411674347158,1317,1287
1,2704,10,100,1e-05,0.01,0.64,0.9001479289940828,1358,1346
1,2804,10,100,1e-05,0.01,0.64,0.9026390870185449,1406,1398
1,2904,10,100,1e-05,0.01,0.652,0.8863636363636364,1453,1451
1,3004,10,100,1e-05,0.01,0.672,0.9137816245006658,1498,1506
1,3104,10,100,1e-05,0.01,0.668,0.939110824742268,1556,1548
1,3204,10,100,1e-05,0.01,0.686,0.9388264669163545,1606,1598
1,3304,10,100,1e-05,0.01,0.678,0.9346246973365617,1652,1652
1,3404,10,100,1e-05,0.01,0.692,0.9256756756756757,1697,1707
1,3504,10,100,1e-05,0.01,0.694,0.9218036529680366,1745,1759
1,3604,10,100,1e-05,0.01,0.724,0.9284128745837957,1797,1807
1,3704,10,100,1e-05,0.01,0.692,0.9071274298056156,1845,1859
1,3804,10,100,1e-05,0.01,0.738,0.9242902208201893,1886,1918
1,3904,10,100,1e-05,0.01,0.742,0.9239241803278688,1936,1968
1,4004,10,100,1e-05,0.01,0.744,0.9253246753246753,1989,2015
1,4104,10,100,1e-05,0.01,0.75,0.9259259259259259,2043,2061
1,4204,10,100,1e-05,0.01,0.75,0.9391056137012369,2101,2103
1,4304,10,100,1e-05,0.01,0.766,0.9284386617100372,2145,2159
1,4404,10,100,1e-05,0.01,0.742,0.9207538601271571,2199,2205
1,4504,10,100,1e-05,0.01,0.79,0.9382770870337478,2242,2262
1,4604,10,100,1e-05,0.01,0.76,0.9459165942658557,2295,2309
1,4704,10,100,1e-05,0.01,0.798,0.9576955782312925,2355,2349
1,4804,10,100,1e-05,0.01,0.8,0.9616985845129059,2407,2397
1,4904,10,100,1e-05,0.01,0.818,0.9563621533442088,2453,2451
1,5004,10,100,1e-05,0.01,0.794,0.9666266986410871,2496,2508
1,5104,10,100,1e-05,0.01,0.826,0.9747257053291536,2532,2572
1,5204,10,100,1e-05,0.01,0.82,0.9654112221368178,2585,2619
1,5304,10,100,1e-05,0.01,0.816,0.9577677224736049,2637,2667
1,5404,10,100,1e-05,0.01,0.796,0.945780903034789,2691,2713
1,5504,10,100,1e-05,0.01,0.802,0.9473110465116279,2736,2768
1,5604,10,100,1e-05,0.01,0.79,0.9566381156316917,2789,2815
1,5704,10,100,1e-05,0.01,0.8,0.9540673211781207,2838,2866
1,5804,10,100,1e-05,0.01,0.802,0.9591660923501034,2885,2919
1,5904,10,100,1e-05,0.01,0.792,0.9278455284552846,2933,2971
1,6004,10,100,1e-05,0.01,0.82,0.9392071952031978,2990,3014
1,6104,10,100,1e-05,0.01,0.822,0.9619921363040629,3043,3061
1,6204,10,100,1e-05,0.01,0.83,0.9626047711154094,3096,3108
1,6304,10,100,1e-05,0.01,0.812,0.970019035532995,3145,3159
1,6404,10,100,1e-05,0.01,0.834,0.9704871955028107,3195,3209
1,6504,10,100,1e-05,0.01,0.84,0.9784747847478474,3256,3248
1,6604,10,100,1e-05,0.01,0.83,0.9678982434887947,3313,3291
1,6704,10,100,1e-05,0.01,0.846,0.9743436754176611,3361,3343
1,6804,10,100,1e-05,0.01,0.832,0.963697824808936,3406,3398
1,6904,10,100,1e-05,0.01,0.832,0.97045191193511,3456,3448
1,7004,10,100,1e-05,0.01,0.81,0.951741861793261,3505,3499
1,7104,10,100,1e-05,0.01,0.806,0.9380630630630631,3551,3553
1,7204,10,100,1e-05,0.01,0.82,0.9410049972237646,3596,3608
1,7304,10,100,1e-05,0.01,0.834,0.9652245345016429,3639,3665
1,7404,10,100,1e-05,0.01,0.82,0.972312263641275,3693,3711
1,7504,10,100,1e-05,0.01,0.836,0.9761460554371002,3751,3753
1,7604,10,100,1e-05,0.01,0.836,0.974092582851131,3805,3799
1,7704,10,100,1e-05,0.01,0.848,0.9754672897196262,3856,3848
1,7804,10,100,1e-05,0.01,0.832,0.9743721168631471,3908,3896
1,7904,10,100,1e-05,0.01,0.828,0.9710273279352226,3954,3950
1,8004,10,100,1e-05,0.01,0.846,0.9683908045977011,4006,3998
1,8104,10,100,1e-05,0.01,0.852,0.9726061204343535,4057,4047
1,8204,10,100,1e-05,0.01,0.842,0.977328132618235,4109,4095
1,8304,10,100,1e-05,0.01,0.842,0.9783236994219653,4155,4149
1,8404,10,100,1e-05,0.01,0.856,0.9704902427415516,4196,4208
1,8504,10,100,1e-05,0.01,0.842,0.9751881467544685,4238,4266
1,8604,10,100,1e-05,0.01,0.822,0.9437470943747094,4290,4314
1,8704,10,100,1e-05,0.01,0.848,0.9293428308823529,4346,4358
1,8804,10,100,1e-05,0.01,0.856,0.9599045888232621,4391,4413
1,8904,10,100,1e-05,0.01,0.838,0.9620395327942498,4447,4457
1,9004,10,100,1e-05,0.01,0.846,0.9719013771657041,4494,4510
1,9104,10,100,1e-05,0.01,0.86,0.9716608084358523,4544,4560
1,9204,10,100,1e-05,0.01,0.844,0.9652325076053889,4591,4613
1,9304,10,100,1e-05,0.01,0.846,0.9483018056749785,4647,4657
1,9404,10,100,1e-05,0.01,0.86,0.9603360272224585,4706,4698
1,9504,10,100,1e-05,0.01,0.874,0.9691708754208754,4743,4761
1,9604,10,100,1e-05,0.01,0.858,0.9682423990004165,4794,4810
1,9704,10,100,1e-05,0.01,0.85,0.9584707337180544,4845,4859
1,9804,10,100,1e-05,0.01,0.838,0.9606283149734802,4894,4910
1,9904,10,100,1e-05,0.01,0.846,0.970718901453958,4946,4958
1,10004,10,100,1e-05,0.01,0.868,0.9724110355857657,4999,5005
1,10104,10,100,1e-05,0.01,0.866,0.9804038004750594,5049,5055
1,10204,10,100,1e-05,0.01,0.874,0.9775578204625637,5095,5109
1,10304,10,100,1e-05,0.01,0.858,0.9767080745341615,5141,5163
1,10404,10,100,1e-05,0.01,0.852,0.9740484429065744,5193,5211
1,10504,10,100,1e-05,0.01,0.858,0.9724866717440975,5244,5260
1,10604,10,100,1e-05,0.01,0.848,0.9504903809883063,5291,5313
1,10704,10,100,1e-05,0.01,0.858,0.9737481315396114,5343,5361
1,10804,10,100,1e-05,0.01,0.854,0.9773232136245835,5386,5418
1,10904,10,100,1e-05,0.01,0.858,0.9735876742479824,5446,5458
1,11004,10,100,1e-05,0.01,0.828,0.9518356961105052,5496,5508
1,11104,10,100,1e-05,0.01,0.84,0.9347982708933718,5544,5560
1,11204,10,100,1e-05,0.01,0.846,0.9556408425562299,5596,5608
1,11304,10,100,1e-05,0.01,0.86,0.9680644019815995,5643,5661
1,11404,10,100,1e-05,0.01,0.862,0.9765871623991582,5702,5702
1,11504,10,100,1e-05,0.01,0.854,0.972183588317107,5757,5747
1,11604,10,100,1e-05,0.01,0.866,0.9675973802137194,5812,5792
1,11704,10,100,1e-05,0.01,0.864,0.9768455228981545,5870,5834
1,11804,10,100,1e-05,0.01,0.882,0.9774652660115215,5910,5894
1,11904,10,100,1e-05,0.01,0.874,0.9745463709677419,5963,5941
1,12004,10,100,1e-05,0.01,0.87,0.9775074975008331,6024,5980
1,12104,10,100,1e-05,0.01,0.862,0.981163251817581,6072,6032
1,12204,10,100,1e-05,0.01,0.866,0.9778761061946902,6114,6090
1,12304,10,100,1e-05,0.01,0.87,0.9752113133940182,6158,6146
1,12404,10,100,1e-05,0.01,0.866,0.9717832957110609,6207,6197
1,12504,10,100,1e-05,0.01,0.872,0.9788867562380038,6264,6240
1,12604,10,100,1e-05,0.01,0.872,0.981196445572834,6315,6289
1,12704,10,100,1e-05,0.01,0.868,0.9778022670025189,6365,6339
1,12804,10,100,1e-05,0.01,0.864,0.9724304904717276,6412,6392
1,12904,10,100,1e-05,0.01,0.892,0.9809361438313701,6470,6434
1,13004,10,100,1e-05,0.01,0.892,0.9807751461088896,6510,6494
1,13104,10,100,1e-05,0.01,0.872,0.9791666666666666,6560,6544
1,13204,10,100,1e-05,0.01,0.878,0.976598000605877,6613,6591
1,13304,10,100,1e-05,0.01,0.888,0.9782020444978954,6663,6641
1,13404,10,100,1e-05,0.01,0.872,0.9805282005371531,6706,6698
1,13504,10,100,1e-05,0.01,0.892,0.9780805687203792,6752,6752
1,13604,10,100,1e-05,0.01,0.886,0.9770655689503087,6804,6800
1,13704,10,100,1e-05,0.01,0.886,0.9699357851722125,6860,6844
1,13804,10,100,1e-05,0.01,0.886,0.9781222833961171,6910,6894
1,13904,10,100,1e-05,0.01,0.884,0.9816599539700805,6963,6941
1,14004,10,100,1e-05,0.01,0.882,0.9798628963153385,7011,6993
1,14104,10,100,1e-05,0.01,0.884,0.9859614293817357,7050,7054
1,14204,10,100,1e-05,0.01,0.874,0.9801464376232047,7098,7106
1,14304,10,100,1e-05,0.01,0.884,0.9628076062639821,7148,7156
1,14404,10,100,1e-05,0.01,0.88,0.9593862815884476,7201,7203
1,14504,10,100,1e-05,0.01,0.878,0.9618725868725869,7244,7260
1,14604,10,100,1e-05,0.01,0.886,0.9746644754861682,7288,7316
1,14704,10,100,1e-05,0.01,0.898,0.982929815016322,7332,7372
1,14804,10,100,1e-05,0.01,0.898,0.973250472845177,7378,7426
1,14904,10,100,1e-05,0.01,0.9,0.9830917874396136,7436,7468
1,15004,10,100,1e-05,0.01,0.888,0.9766062383364437,7491,7513
2,104,10,100,1e-05,0.01,0.504,0.6634615384615384,55,49
2,204,10,100,1e-05,0.01,0.504,0.6274509803921569,105,99
2,304,10,100,1e-05,0.01,0.546,0.6217105263157895,157,147
2,404,10,100,1e-05,0.01,0.572,0.594059405940594,209,195
2,504,10,100,1e-05,0.01,0.528,0.6309523809523809,260,244
2,604,10,100,1e-05,0.01,0.52,0.609271523178808,309,295
2,704,10,100,1e-05,0.01,0.476,0.6363636363636364,351,353
2,804,10,100,1e-05,0.01,0.472,0.650497512437811,398,406
2,904,10,100,1e-05,0.01,0.482,0.6493362831858407,452,452
2,1004,10,100,1e-05,0.01,0.454,0.6613545816733067,497,507
2,1104,10,100,1e-05,0.01,0.504,0.667572463768116,548,556
2,1204,10,100,1e-05,0.01,0.492,0.7142857142857143,594,610
2,1304,10,100,1e-05,0.01,0.486,0.7170245398773006,647,657
2,1404,10,100,1e-05,0.01,0.494,0.7293447293447294,692,712
2,1504,10,100,1e-05,0.01,0.502,0.7107712765957447,731,773
2,1604,10,100,1e-05,0.01,0.51,0.770573566084788,784,820
2,1704,10,100,1e-05,0.01,0.508,0.7406103286384976,831,873
2,1804,10,100,1e-05,0.01,0.526,0.7599778270509978,878,926
2,1904,10,100,1e-05,0.01,0.488,0.7337184873949579,931,973
2,2004,10,100,1e-05,0.01,0.54,0.7884231536926147,976,1028
2,2104,10,100,1e-05,0.01,0.526,0.7913498098859315,1030,1074
2,2204,10,100,1e-05,0.01,0.532,0.8044464609800362,1081,1123
2,2304,10,100,1e-05,0.01,0.514,0.7951388888888888,1133,1171
2,2404,10,100,1e-05,0.01,0.552,0.8169717138103162,1190,1214
2,2504,10,100,1e-05,0.01,0.562,0.8003194888178914,1233,1271
2,2604,10,100,1e-05,0.01,0.564,0.8360215053763441,1277,1327
2,2704,10,100,1e-05,0.01,0.62,0.878698224852071,1317,1387
2,2804,10,100,1e-05,0.01,0.604,0.8637660485021398,1362,1442
2,2904,10,100,1e-05,0.01,0.592,0.8112947658402204,1399,1505
2,3004,10,100,1e-05,0.01,0.582,0.7869507323568575,1442,1562
2,3104,10,100,1e-05,0.01,0.678,0.8920747422680413,1496,1608
