trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,train_accuracy,batch_pos,batch_neg,equality_pretraining_accuracy,max_equality_pretraining_trials,equality_pretrain_max_iter,rep_pretrain_max_iter,rep_pretrain_tasks
1,0,2,50,1e-05,0.0001,0.498,0.5157563025210085,0,0,0.726,1,200,50,10
1,104,2,50,1e-05,0.0001,0.498,0.4230769230769231,51,53,0.726,1,200,50,10
1,204,2,50,1e-05,0.0001,0.498,0.46078431372549017,96,108,0.726,1,200,50,10
1,304,2,50,1e-05,0.0001,0.498,0.45394736842105265,153,151,0.726,1,200,50,10
1,404,2,50,1e-05,0.0001,0.5,0.4777227722772277,208,196,0.726,1,200,50,10
1,504,2,50,1e-05,0.0001,0.5,0.49007936507936506,253,251,0.726,1,200,50,10
1,604,2,50,1e-05,0.0001,0.5,0.5115894039735099,309,295,0.726,1,200,50,10
1,704,2,50,1e-05,0.0001,0.5,0.5142045454545454,359,345,0.726,1,200,50,10
1,804,2,50,1e-05,0.0001,0.5,0.513681592039801,412,392,0.726,1,200,50,10
1,904,2,50,1e-05,0.0001,0.5,0.5132743362831859,460,444,0.726,1,200,50,10
1,1004,2,50,1e-05,0.0001,0.498,0.5109561752988048,503,501,0.726,1,200,50,10
1,1104,2,50,1e-05,0.0001,0.496,0.5153985507246377,561,543,0.726,1,200,50,10
1,1204,2,50,1e-05,0.0001,0.494,0.521594684385382,611,593,0.726,1,200,50,10
1,1304,2,50,1e-05,0.0001,0.492,0.5153374233128835,655,649,0.726,1,200,50,10
1,1404,2,50,1e-05,0.0001,0.488,0.51994301994302,704,700,0.726,1,200,50,10
1,1504,2,50,1e-05,0.0001,0.49,0.5179521276595744,754,750,0.726,1,200,50,10
1,1604,2,50,1e-05,0.0001,0.492,0.523067331670823,806,798,0.726,1,200,50,10
1,1704,2,50,1e-05,0.0001,0.496,0.528755868544601,865,839,0.726,1,200,50,10
1,1804,2,50,1e-05,0.0001,0.496,0.5260532150776053,911,893,0.726,1,200,50,10
1,1904,2,50,1e-05,0.0001,0.494,0.5236344537815126,962,942,0.726,1,200,50,10
2,0,2,50,1e-05,0.0001,0.58,0.5866596638655462,0,0,0.865,1,200,50,10
2,104,2,50,1e-05,0.0001,0.58,0.5576923076923077,46,58,0.865,1,200,50,10
2,204,2,50,1e-05,0.0001,0.58,0.5735294117647058,94,110,0.865,1,200,50,10
2,304,2,50,1e-05,0.0001,0.58,0.6085526315789473,158,146,0.865,1,200,50,10
2,404,2,50,1e-05,0.0001,0.58,0.6039603960396039,207,197,0.865,1,200,50,10
2,504,2,50,1e-05,0.0001,0.58,0.5912698412698413,264,240,0.865,1,200,50,10
2,604,2,50,1e-05,0.0001,0.58,0.5794701986754967,310,294,0.865,1,200,50,10
2,704,2,50,1e-05,0.0001,0.58,0.5866477272727273,359,345,0.865,1,200,50,10
2,804,2,50,1e-05,0.0001,0.582,0.5796019900497512,406,398,0.865,1,200,50,10
2,904,2,50,1e-05,0.0001,0.584,0.5785398230088495,447,457,0.865,1,200,50,10
2,1004,2,50,1e-05,0.0001,0.584,0.5846613545816733,496,508,0.865,1,200,50,10
2,1104,2,50,1e-05,0.0001,0.584,0.5869565217391305,552,552,0.865,1,200,50,10
2,1204,2,50,1e-05,0.0001,0.586,0.584717607973422,602,602,0.865,1,200,50,10
2,1304,2,50,1e-05,0.0001,0.586,0.5881901840490797,655,649,0.865,1,200,50,10
2,1404,2,50,1e-05,0.0001,0.586,0.5918803418803419,708,696,0.865,1,200,50,10
2,1504,2,50,1e-05,0.0001,0.588,0.5904255319148937,754,750,0.865,1,200,50,10
2,1604,2,50,1e-05,0.0001,0.588,0.5910224438902744,803,801,0.865,1,200,50,10
2,1704,2,50,1e-05,0.0001,0.592,0.5897887323943662,850,854,0.865,1,200,50,10
2,1804,2,50,1e-05,0.0001,0.59,0.5914634146341463,908,896,0.865,1,200,50,10
2,1904,2,50,1e-05,0.0001,0.59,0.5913865546218487,957,947,0.865,1,200,50,10
3,0,2,50,1e-05,0.0001,0.518,0.5288865546218487,0,0,0.72,1,200,50,10
3,104,2,50,1e-05,0.0001,0.518,0.5288461538461539,50,54,0.72,1,200,50,10
3,204,2,50,1e-05,0.0001,0.518,0.5049019607843137,100,104,0.72,1,200,50,10
3,304,2,50,1e-05,0.0001,0.518,0.5263157894736842,159,145,0.72,1,200,50,10
3,404,2,50,1e-05,0.0001,0.518,0.5222772277227723,202,202,0.72,1,200,50,10
3,504,2,50,1e-05,0.0001,0.518,0.5079365079365079,246,258,0.72,1,200,50,10
3,604,2,50,1e-05,0.0001,0.518,0.5033112582781457,298,306,0.72,1,200,50,10
3,704,2,50,1e-05,0.0001,0.518,0.5127840909090909,352,352,0.72,1,200,50,10
3,804,2,50,1e-05,0.0001,0.518,0.5199004975124378,404,400,0.72,1,200,50,10
3,904,2,50,1e-05,0.0001,0.518,0.5188053097345132,458,446,0.72,1,200,50,10
3,1004,2,50,1e-05,0.0001,0.518,0.5258964143426295,508,496,0.72,1,200,50,10
3,1104,2,50,1e-05,0.0001,0.518,0.5262681159420289,556,548,0.72,1,200,50,10
3,1204,2,50,1e-05,0.0001,0.518,0.5240863787375415,596,608,0.72,1,200,50,10
3,1304,2,50,1e-05,0.0001,0.518,0.5245398773006135,642,662,0.72,1,200,50,10
3,1404,2,50,1e-05,0.0001,0.518,0.5220797720797721,693,711,0.72,1,200,50,10
3,1504,2,50,1e-05,0.0001,0.518,0.5219414893617021,743,761,0.72,1,200,50,10
3,1604,2,50,1e-05,0.0001,0.518,0.5261845386533666,802,802,0.72,1,200,50,10
3,1704,2,50,1e-05,0.0001,0.518,0.5246478873239436,852,852,0.72,1,200,50,10
