trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,train_accuracy,batch_pos,batch_neg,equality_pretraining_accuracy,max_equality_pretraining_trials
1,0,2,50,1e-05,0.0001,0.5,0.5,0,0,0.5,1
1,104,2,50,1e-05,0.0001,0.5,0.5769230769230769,44,60,0.5,1
1,204,2,50,1e-05,0.0001,0.5,0.5294117647058824,96,108,0.5,1
1,304,2,50,1e-05,0.0001,0.5,0.5230263157894737,145,159,0.5,1
1,404,2,50,1e-05,0.0001,0.5,0.5297029702970297,190,214,0.5,1
1,504,2,50,1e-05,0.0001,0.5,0.5138888888888888,245,259,0.5,1
1,604,2,50,1e-05,0.0001,0.5,0.5082781456953642,297,307,0.5,1
1,704,2,50,1e-05,0.0001,0.5,0.5113636363636364,344,360,0.5,1
1,804,2,50,1e-05,0.0001,0.5,0.5062189054726368,397,407,0.5,1
1,904,2,50,1e-05,0.0001,0.5,0.5011061946902655,451,453,0.5,1
1,1004,2,50,1e-05,0.0001,0.5,0.49800796812749004,504,500,0.5,1
1,1104,2,50,1e-05,0.0001,0.5,0.509963768115942,541,563,0.5,1
1,1204,2,50,1e-05,0.0001,0.5,0.5099667774086378,590,614,0.5,1
1,1304,2,50,1e-05,0.0001,0.5,0.5145705521472392,633,671,0.5,1
1,1404,2,50,1e-05,0.0001,0.5,0.5135327635327636,683,721,0.5,1
1,1504,2,50,1e-05,0.0001,0.5,0.5093085106382979,738,766,0.5,1
1,1604,2,50,1e-05,0.0001,0.5,0.506857855361596,791,813,0.5,1
1,1704,2,50,1e-05,0.0001,0.5,0.5029342723004695,847,857,0.5,1
1,1804,2,50,1e-05,0.0001,0.5,0.4977827050997783,906,898,0.5,1
1,1904,2,50,1e-05,0.0001,0.5,0.5,952,952,0.5,1
2,0,2,50,1e-05,0.0001,0.5,0.5,0,0,0.502,1
2,104,2,50,1e-05,0.0001,0.5,0.5192307692307693,50,54,0.502,1
2,204,2,50,1e-05,0.0001,0.5,0.5245098039215687,97,107,0.502,1
2,304,2,50,1e-05,0.0001,0.5,0.5,152,152,0.502,1
2,404,2,50,1e-05,0.0001,0.5,0.5024752475247525,201,203,0.502,1
2,504,2,50,1e-05,0.0001,0.5,0.5238095238095238,240,264,0.502,1
2,604,2,50,1e-05,0.0001,0.5,0.5033112582781457,300,304,0.502,1
2,704,2,50,1e-05,0.0001,0.5,0.5042613636363636,349,355,0.502,1
2,804,2,50,1e-05,0.0001,0.5,0.503731343283582,399,405,0.502,1
2,904,2,50,1e-05,0.0001,0.5,0.49557522123893805,456,448,0.502,1
2,1004,2,50,1e-05,0.0001,0.5,0.5029880478087649,499,505,0.502,1
2,1104,2,50,1e-05,0.0001,0.5,0.5036231884057971,548,556,0.502,1
2,1204,2,50,1e-05,0.0001,0.5,0.5016611295681063,600,604,0.502,1
2,1304,2,50,1e-05,0.0001,0.5,0.49846625766871167,654,650,0.502,1
2,1404,2,50,1e-05,0.0001,0.5,0.49715099715099714,706,698,0.502,1
2,1504,2,50,1e-05,0.0001,0.5,0.4933510638297872,762,742,0.502,1
2,1604,2,50,1e-05,0.0001,0.5,0.4956359102244389,809,795,0.502,1
2,1704,2,50,1e-05,0.0001,0.5,0.49295774647887325,864,840,0.502,1
2,1804,2,50,1e-05,0.0001,0.5,0.49611973392461195,909,895,0.502,1
2,1904,2,50,1e-05,0.0001,0.5,0.5,952,952,0.502,1
3,0,2,50,1e-05,0.0001,0.5,0.5,0,0,0.5,1
3,104,2,50,1e-05,0.0001,0.5,0.5288461538461539,49,55,0.5,1
3,204,2,50,1e-05,0.0001,0.5,0.5,102,102,0.5,1
3,304,2,50,1e-05,0.0001,0.5,0.4967105263157895,153,151,0.5,1
3,404,2,50,1e-05,0.0001,0.5,0.5024752475247525,201,203,0.5,1
3,504,2,50,1e-05,0.0001,0.5,0.5,252,252,0.5,1
3,604,2,50,1e-05,0.0001,0.5,0.5099337748344371,296,308,0.5,1
3,704,2,50,1e-05,0.0001,0.5,0.5099431818181818,345,359,0.5,1
3,804,2,50,1e-05,0.0001,0.5,0.5161691542288557,389,415,0.5,1
3,904,2,50,1e-05,0.0001,0.5,0.5176991150442478,436,468,0.5,1
3,1004,2,50,1e-05,0.0001,0.5,0.500996015936255,501,503,0.5,1
3,1104,2,50,1e-05,0.0001,0.5,0.5054347826086957,546,558,0.5,1
3,1204,2,50,1e-05,0.0001,0.5,0.5033222591362126,598,606,0.5,1
3,1304,2,50,1e-05,0.0001,0.5,0.5053680981595092,645,659,0.5,1
3,1404,2,50,1e-05,0.0001,0.5,0.5056980056980057,694,710,0.5,1
3,1504,2,50,1e-05,0.0001,0.5,0.5026595744680851,748,756,0.5,1
3,1604,2,50,1e-05,0.0001,0.5,0.49688279301745636,807,797,0.5,1
3,1704,2,50,1e-05,0.0001,0.5,0.49765258215962443,856,848,0.5,1
3,1804,2,50,1e-05,0.0001,0.5,0.4955654101995565,910,894,0.5,1
3,1904,2,50,1e-05,0.0001,0.5,0.5,952,952,0.5,1
4,0,2,50,1e-05,0.0001,0.5,0.5,0,0,0.5,1
4,104,2,50,1e-05,0.0001,0.5,0.4807692307692308,54,50,0.5,1
4,204,2,50,1e-05,0.0001,0.5,0.46078431372549017,110,94,0.5,1
4,304,2,50,1e-05,0.0001,0.5,0.4769736842105263,159,145,0.5,1
4,404,2,50,1e-05,0.0001,0.5,0.47277227722772275,213,191,0.5,1
4,504,2,50,1e-05,0.0001,0.5,0.4603174603174603,272,232,0.5,1
4,604,2,50,1e-05,0.0001,0.5,0.4602649006622517,326,278,0.5,1
4,704,2,50,1e-05,0.0001,0.5,0.46732954545454547,375,329,0.5,1
4,804,2,50,1e-05,0.0001,0.5,0.48134328358208955,417,387,0.5,1
4,904,2,50,1e-05,0.0001,0.5,0.49557522123893805,456,448,0.5,1
4,1004,2,50,1e-05,0.0001,0.5,0.5029880478087649,499,505,0.5,1
4,1104,2,50,1e-05,0.0001,0.5,0.5063405797101449,545,559,0.5,1
4,1204,2,50,1e-05,0.0001,0.5,0.5041528239202658,597,607,0.5,1
4,1304,2,50,1e-05,0.0001,0.5,0.5076687116564417,642,662,0.5,1
4,1404,2,50,1e-05,0.0001,0.5,0.5078347578347578,691,713,0.5,1
4,1504,2,50,1e-05,0.0001,0.5,0.5039893617021277,746,758,0.5,1
4,1604,2,50,1e-05,0.0001,0.5,0.49875311720698257,804,800,0.5,1
4,1704,2,50,1e-05,0.0001,0.5,0.4970657276995305,857,847,0.5,1
